alpha,policy_name,avg_cost,avg_score,objective_value,details
0.01,Oracle Routing,0.0001625061625,0.9583333333333333,-0.009420827170833333,
0.01,Single Best,0.0,0.6166666666666657,-0.006166666666666657,model=MiniCPM4.1-8B
0.01,Single Best per Benchmark,0.0006647479583333333,0.75,-0.006835252041666667,AIME:MiniCPM4.1-8B; GPQA:deepseek-v3.1-terminus; LCB:deepseek-v3.1-terminus; MMLU-Pro:qwen3-235b-a22b-2507
0.05,Oracle Routing,0.0005951153291666666,0.9708333333333332,-0.0479465513375,
0.05,Single Best,0.0017558165416666667,0.7291666666666653,-0.034702516791666596,model=qwen3-235b-a22b-2507
0.05,Single Best per Benchmark,0.0017334819458333336,0.8166666666666667,-0.0390998513875,AIME:Qwen3-8B; GPQA:deepseek-v3.1-terminus; LCB:Qwen3-8B; MMLU-Pro:intern-s1
0.1,Oracle Routing,0.0012217678291666667,0.9791666666666665,-0.09669489883749999,
0.1,Single Best,0.0017558165416666667,0.7291666666666653,-0.07116085012499987,model=qwen3-235b-a22b-2507
0.1,Single Best per Benchmark,0.0017334819458333336,0.8166666666666667,-0.07993318472083333,AIME:Qwen3-8B; GPQA:deepseek-v3.1-terminus; LCB:Qwen3-8B; MMLU-Pro:intern-s1
0.2,Oracle Routing,0.0016813553291666666,0.9833333333333332,-0.1949853113375,
0.2,Single Best,0.014699289166666673,0.8458333333333315,-0.15446737749999964,model=qwen3-235b-a22b-thinking-2507
0.2,Single Best per Benchmark,0.0064737104,0.8458333333333333,-0.1626929562666667,AIME:qwen3-235b-a22b-thinking-2507; GPQA:kimi-k2-0905; LCB:Qwen3-8B; MMLU-Pro:intern-s1
0.5,Oracle Routing,0.0016813553291666666,0.9833333333333332,-0.4899853113374999,
0.5,Single Best,0.014699289166666673,0.8458333333333315,-0.4082173774999991,model=qwen3-235b-a22b-thinking-2507
0.5,Single Best per Benchmark,0.020189298374999998,0.8791666666666667,-0.41939403495833333,AIME:qwen3-235b-a22b-thinking-2507; GPQA:gpt-5; LCB:qwen3-235b-a22b-thinking-2507; MMLU-Pro:intern-s1
1.0,Oracle Routing,0.0016813553291666666,0.9833333333333332,-0.9816519780041665,
1.0,Single Best,0.042548486458333375,0.8874999999999981,-0.8449515135416646,model=gpt-5
1.0,Single Best per Benchmark,0.02349654083333333,0.8833333333333333,-0.8598367925,AIME:qwen3-235b-a22b-thinking-2507; GPQA:gpt-5; LCB:qwen3-235b-a22b-thinking-2507; MMLU-Pro:gpt-5
2.0,Oracle Routing,0.0016813553291666666,0.9833333333333332,-1.9649853113374998,
2.0,Single Best,0.042548486458333375,0.8874999999999981,-1.7324515135416627,model=gpt-5
2.0,Single Best per Benchmark,0.02349654083333333,0.8833333333333333,-1.7431701258333332,AIME:qwen3-235b-a22b-thinking-2507; GPQA:gpt-5; LCB:qwen3-235b-a22b-thinking-2507; MMLU-Pro:gpt-5
5.0,Oracle Routing,0.0016813553291666666,0.9833333333333332,-4.9149853113374995,
5.0,Single Best,0.042548486458333375,0.8874999999999981,-4.394951513541657,model=gpt-5
5.0,Single Best per Benchmark,0.037822651458333335,0.8875,-4.399677348541666,AIME:gpt-5; GPQA:gpt-5; LCB:qwen3-235b-a22b-thinking-2507; MMLU-Pro:gpt-5
10.0,Oracle Routing,0.0016813553291666666,0.9833333333333332,-9.831651978004166,
10.0,Single Best,0.042548486458333375,0.8874999999999981,-8.832451513541647,model=gpt-5
10.0,Single Best per Benchmark,0.037822651458333335,0.8875,-8.837177348541667,AIME:gpt-5; GPQA:gpt-5; LCB:qwen3-235b-a22b-thinking-2507; MMLU-Pro:gpt-5
